"filename", "language", "CSS", "TypeScript JSX", "XML", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 34, 76
"/Users/leeklusky/be-for-reel/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"/Users/leeklusky/be-for-reel/client/package.json", "JSON", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"/Users/leeklusky/be-for-reel/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"/Users/leeklusky/be-for-reel/client/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/Users/leeklusky/be-for-reel/client/src/App.css", "CSS", 150, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28, 187
"/Users/leeklusky/be-for-reel/client/src/App.test.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/leeklusky/be-for-reel/client/src/App.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96
"/Users/leeklusky/be-for-reel/client/src/components/ActionLink/ActionLink.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/ActionLink/ActionLink.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/leeklusky/be-for-reel/client/src/components/ActionLink/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Card/Card.css", "CSS", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 63
"/Users/leeklusky/be-for-reel/client/src/components/Card/Card.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 5, 41
"/Users/leeklusky/be-for-reel/client/src/components/Card/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
